pull_request,creator,creator_type,reviewer,reviewer_type,is_equal
16191,BinaryMuse,Employees,BinaryMuse,Employees,Yes
16190,U8NWXD,Volunteers,50Wliu,Volunteers,No
16186,nathansobo,Employees,nathansobo,Employees,Yes
16180,U8NWXD,Volunteers,50Wliu,Volunteers,No
16174,smashwilson,Employees,smashwilson,Employees,Yes
16173,dungeonmaster18,Volunteers,50Wliu,Volunteers,No
16150,lee-dohm,Employees,lee-dohm,Employees,Yes
16144,jasonrudolph,Employees,jasonrudolph,Employees,Yes
16141,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
16140,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
16119,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
16114,Ben3eeE,Volunteers,nathansobo,Employees,No
16111,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
16092,nathansobo,Employees,nathansobo,Employees,Yes
16091,jasonrudolph,Employees,jasonrudolph,Employees,Yes
16090,jasonrudolph,Employees,jasonrudolph,Employees,Yes
16087,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
16086,leroix,Volunteers,nathansobo,Employees,No
16085,leroix,Volunteers,nathansobo,Employees,No
16083,leroix,Volunteers,nathansobo,Employees,No
16080,hansonw,Volunteers,smashwilson,Employees,No
16076,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
16075,nathansobo,Employees,nathansobo,Employees,Yes
16074,UziTech,Volunteers,maxbrunsfeld,Employees,No
16073,jasonrudolph,Employees,jasonrudolph,Employees,Yes
16067,royGil,Volunteers,50Wliu,Volunteers,No
16066,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
16065,nathansobo,Employees,nathansobo,Employees,Yes
16064,nathansobo,Employees,nathansobo,Employees,Yes
16060,nathansobo,Employees,nathansobo,Employees,Yes
16058,50Wliu,Volunteers,50Wliu,Volunteers,Yes
16047,nathansobo,Employees,nathansobo,Employees,Yes
16031,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
16025,jasonrudolph,Employees,jasonrudolph,Employees,Yes
16022,50Wliu,Volunteers,50Wliu,Volunteers,Yes
16018,jasonrudolph,Employees,jasonrudolph,Employees,Yes
16017,nathansobo,Employees,nathansobo,Employees,Yes
16008,leroix,Volunteers,leroix,Volunteers,Yes
16006,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
15999,50Wliu,Volunteers,50Wliu,Volunteers,Yes
15994,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
15993,nathansobo,Employees,nathansobo,Employees,Yes
15990,nathansobo,Employees,nathansobo,Employees,Yes
15989,50Wliu,Volunteers,50Wliu,Volunteers,Yes
15981,jasonrudolph,Employees,jasonrudolph,Employees,Yes
15977,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
15976,nathansobo,Employees,nathansobo,Employees,Yes
15974,maxbrunsfeld,Employees,maxbrunsfeld,Employees,Yes
15972,jasonrudolph,Employees,jasonrudolph,Employees,Yes
